NetProfit,PF,MaxDD,Trades,SmartScore,Params
8501.0,1.2350420261004202,888.0,2508,8915.669381691298,"ARS(5,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(20)"
8428.0,1.2446657183499288,908.0,2358,8877.828938941435,"ARS(5,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(20)"
8583.0,1.219868330045854,929.0,2941,8829.59173282473,"ARS(5,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(20)"
8902.0,1.2102106356852744,1103.0,3812,8826.228968433814,"ARS(3,0.01) ADX(21) RVI(14) Q(5) Sc(3) NL(20)"
8746.0,1.2458813606972168,1179.0,2851,8817.347775253162,"ARS(3,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(10)"
8987.0,1.212022554084979,1196.0,3883,8789.902109071743,"ARS(3,0.01) ADX(21) RVI(21) Q(5) Sc(3) NL(20)"
8331.0,1.239623781171801,916.0,2359,8728.284077875483,"ARS(8,0.01) ADX(30) RVI(10) Q(8) Sc(3) NL(20)"
8281.0,1.253210616438356,947.0,2113,8725.27082119222,"ARS(3,0.01) ADX(30) RVI(10) Q(13) Sc(3) NL(20)"
8634.0,1.2050636519095572,963.0,3994,8724.2324086761,"ARS(3,0.01) ADX(21) RVI(14) Q(8) Sc(3) NL(10)"
8614.0,1.2029832457525274,943.0,3763,8718.237993363848,"ARS(5,0.01) ADX(21) RVI(10) Q(5) Sc(3) NL(20)"
8423.0,1.242535057156843,1006.0,2388,8712.84780755252,"ARS(3,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(20)"
8392.0,1.2275858328361446,916.0,2999,8706.812296451088,"ARS(5,0.01) ADX(21) RVI(21) Q(13) Sc(3) NL(20)"
8579.0,1.2303829421558623,1065.0,3203,8701.94168240325,"ARS(5,0.01) ADX(30) RVI(21) Q(5) Sc(3) NL(10)"
8393.0,1.247056399387731,1015.0,2432,8700.369376609498,"ARS(5,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(20)"
8318.0,1.2312997052444248,893.0,2745,8689.92953353396,"ARS(5,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(10)"
8332.0,1.2484568361413448,996.0,2163,8674.234788800604,"ARS(3,0.01) ADX(21) RVI(14) Q(13) Sc(4) NL(20)"
8281.0,1.2420424984654956,936.0,2513,8663.539361348356,"ARS(5,0.01) ADX(30) RVI(14) Q(13) Sc(3) NL(10)"
8456.0,1.234888888888889,1031.0,2772,8657.121907183258,"ARS(3,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(10)"
8431.0,1.2191634822844368,943.0,2801,8647.793470587318,"ARS(5,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(10)"
8247.0,1.223829556249152,868.0,3076,8599.967919552451,"ARS(3,0.01) ADX(14) RVI(14) Q(13) Sc(4) NL(20)"
8143.0,1.214176749079432,751.0,2819,8595.932244612952,"ARS(8,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(10)"
8332.0,1.2445266185361272,1048.0,2117,8572.582494744553,"ARS(3,0.01) ADX(30) RVI(14) Q(5) Sc(4) NL(20)"
8569.0,1.2065068080491625,1038.0,4015,8561.242827238551,"ARS(3,0.01) ADX(14) RVI(10) Q(13) Sc(3) NL(20)"
8133.0,1.2403226759647774,892.0,2418,8560.373662272179,"ARS(5,0.01) ADX(30) RVI(10) Q(13) Sc(3) NL(10)"
8681.0,1.2055745003315337,1122.0,3869,8547.527145849432,"ARS(5,0.01) ADX(21) RVI(21) Q(5) Sc(3) NL(20)"
8351.0,1.2018856521213586,921.0,3459,8475.719541348984,"ARS(5,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(10)"
8161.0,1.2438157265774379,989.0,2110,8474.520073967667,"ARS(3,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(10)"
8413.0,1.2003476852733854,978.0,4087,8446.40772516309,"ARS(5,0.01) ADX(21) RVI(21) Q(8) Sc(3) NL(10)"
8297.0,1.1983599502725446,887.0,3477,8444.702316469597,"ARS(3,0.01) ADX(21) RVI(10) Q(5) Sc(4) NL(10)"
8335.0,1.2332708292519101,1087.0,2668,8443.66055677236,"ARS(5,0.01) ADX(30) RVI(21) Q(5) Sc(3) NL(20)"
8152.0,1.223734767812054,917.0,2947,8429.851129967776,"ARS(3,0.01) ADX(14) RVI(10) Q(13) Sc(4) NL(20)"
8103.0,1.2243666066731276,887.0,2738,8426.229500486115,"ARS(8,0.01) ADX(30) RVI(10) Q(8) Sc(3) NL(10)"
8388.0,1.179745424934642,877.0,5008,8419.010230008318,"ARS(3,0.01) ADX(14) RVI(21) Q(8) Sc(3) NL(20)"
8252.0,1.248539244623818,1119.0,2076,8418.815040558708,"ARS(3,0.01) ADX(30) RVI(21) Q(8) Sc(4) NL(10)"
8198.0,1.19422398066763,818.0,3938,8413.757471221408,"ARS(5,0.01) ADX(21) RVI(10) Q(8) Sc(3) NL(10)"
8125.0,1.251547987616099,1055.0,1838,8397.049875624116,"ARS(3,0.01) ADX(30) RVI(14) Q(8) Sc(4) NL(20)"
8186.0,1.2090344986083092,906.0,3474,8378.899767700323,"ARS(5,0.01) ADX(21) RVI(14) Q(13) Sc(3) NL(10)"
8727.0,1.1939548838759861,1218.0,4740,8378.613920541758,"ARS(3,0.01) ADX(21) RVI(21) Q(5) Sc(3) NL(10)"
8172.0,1.2036990876913107,871.0,3384,8377.30279732021,"ARS(8,0.01) ADX(21) RVI(10) Q(8) Sc(3) NL(20)"
8033.0,1.205974358974359,784.0,2880,8374.474434336986,"ARS(5,0.01) ADX(21) RVI(10) Q(8) Sc(4) NL(10)"
8257.0,1.2278421633554084,1072.0,2616,8348.396527359691,"ARS(5,0.01) ADX(30) RVI(14) Q(5) Sc(3) NL(20)"
8379.0,1.1990734141126158,1034.0,4223,8325.353113067293,"ARS(3,0.01) ADX(14) RVI(14) Q(13) Sc(3) NL(20)"
8317.0,1.1976567327344456,989.0,3478,8316.005214687248,"ARS(3,0.01) ADX(21) RVI(14) Q(5) Sc(4) NL(10)"
8169.0,1.2358733000317617,1078.0,2539,8305.239378051549,"ARS(3,0.01) ADX(30) RVI(14) Q(13) Sc(3) NL(10)"
8220.0,1.2059479367624584,983.0,3405,8284.215310201744,"ARS(5,0.01) ADX(21) RVI(14) Q(8) Sc(3) NL(20)"
8085.0,1.2208956039452474,963.0,2988,8276.8245496372,"ARS(3,0.01) ADX(14) RVI(21) Q(13) Sc(4) NL(20)"
8082.0,1.2391548795644196,1051.0,2134,8275.36749019967,"ARS(3,0.01) ADX(30) RVI(21) Q(5) Sc(4) NL(20)"
8422.0,1.186951985615663,1042.0,4570,8272.517066248853,"ARS(3,0.01) ADX(21) RVI(10) Q(5) Sc(3) NL(10)"
8021.0,1.194868929326304,798.0,3618,8264.956607559749,"ARS(5,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(20)"
7914.0,1.23602039903373,920.0,2092,8261.710673946738,"ARS(5,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(10)"
8008.0,1.2375063024587003,1008.0,2147,8247.295664188809,"ARS(5,0.01) ADX(21) RVI(14) Q(13) Sc(4) NL(20)"
8199.0,1.2379625598606878,1158.0,2462,8241.356794655554,"ARS(3,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(20)"
7911.0,1.2421265264897623,970.0,2139,8229.868468224882,"ARS(8,0.01) ADX(30) RVI(14) Q(13) Sc(3) NL(20)"
8046.0,1.2077512974773426,914.0,3236,8215.731264374956,"ARS(3,0.01) ADX(21) RVI(10) Q(13) Sc(3) NL(10)"
7750.0,1.252945592219067,914.0,1621,8209.611379521279,"ARS(3,0.01) ADX(30) RVI(14) Q(13) Sc(4) NL(20)"
8026.0,1.239353453417631,1062.0,2047,8204.429905253965,"ARS(3,0.01) ADX(30) RVI(14) Q(8) Sc(4) NL(10)"
8304.0,1.2128412149173395,1138.0,3486,8204.165402959912,"ARS(3,0.01) ADX(21) RVI(21) Q(13) Sc(3) NL(10)"
7810.0,1.2118425692353596,775.0,2981,8194.364039591479,"ARS(8,0.01) ADX(21) RVI(21) Q(13) Sc(3) NL(20)"
8322.0,1.1956138495169593,1074.0,3795,8190.565077115687,"ARS(5,0.01) ADX(21) RVI(14) Q(5) Sc(3) NL(20)"
7906.0,1.2121163339772483,856.0,2561,8182.199228504204,"ARS(8,0.01) ADX(21) RVI(10) Q(8) Sc(4) NL(20)"
7706.0,1.2534618294247277,903.0,1562,8181.582972680799,"ARS(3,0.01) ADX(30) RVI(10) Q(13) Sc(4) NL(20)"
7773.0,1.213169153137341,768.0,2504,8174.379184584389,"ARS(8,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(20)"
7896.0,1.244503622964018,1014.0,1813,8169.771040009882,"ARS(5,0.01) ADX(30) RVI(14) Q(8) Sc(4) NL(20)"
7938.0,1.2156244906828924,910.0,2813,8163.813203926226,"ARS(8,0.01) ADX(21) RVI(10) Q(13) Sc(3) NL(20)"
7915.0,1.2460596263251158,1048.0,1866,8153.573034361186,"ARS(3,0.01) ADX(30) RVI(21) Q(8) Sc(4) NL(20)"
7964.0,1.1817808312980758,790.0,4110,8127.549689514574,"ARS(5,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(10)"
8366.0,1.2222694545551156,1291.0,3205,8127.091286606341,"ARS(3,0.01) ADX(30) RVI(21) Q(5) Sc(3) NL(10)"
7757.0,1.2399764880584085,919.0,2199,8125.103579886025,"ARS(5,0.01) ADX(30) RVI(21) Q(13) Sc(3) NL(20)"
7627.0,1.252951711329265,882.0,1550,8123.310695603794,"ARS(5,0.01) ADX(30) RVI(10) Q(13) Sc(4) NL(20)"
7906.0,1.2359225328996448,1018.0,2117,8118.314676889824,"ARS(3,0.01) ADX(21) RVI(21) Q(13) Sc(4) NL(20)"
7903.0,1.231644048421608,1009.0,2100,8099.25354857378,"ARS(5,0.01) ADX(30) RVI(14) Q(5) Sc(4) NL(20)"
7847.0,1.2322697134738338,971.0,2519,8097.153275522673,"ARS(5,0.01) ADX(30) RVI(21) Q(13) Sc(3) NL(10)"
7825.0,1.2350485116097443,974.0,2058,8088.596085827125,"ARS(5,0.01) ADX(30) RVI(21) Q(8) Sc(4) NL(10)"
8027.0,1.2115151515151514,1014.0,3171,8085.161391097539,"ARS(5,0.01) ADX(30) RVI(10) Q(5) Sc(3) NL(10)"
8249.0,1.2253825136612022,1277.0,2640,8051.760678023941,"ARS(3,0.01) ADX(30) RVI(14) Q(5) Sc(3) NL(20)"
7937.0,1.231466899970837,1076.0,2440,8043.246202327627,"ARS(3,0.01) ADX(30) RVI(10) Q(13) Sc(3) NL(10)"
7838.0,1.234312875549311,1016.0,2019,8040.678456246259,"ARS(5,0.01) ADX(30) RVI(14) Q(8) Sc(4) NL(10)"
7766.0,1.212110452571491,856.0,2921,8037.2692748208665,"ARS(5,0.01) ADX(14) RVI(10) Q(13) Sc(4) NL(20)"
7699.0,1.2363033669930328,929.0,2073,8026.901351390925,"ARS(8,0.01) ADX(30) RVI(10) Q(13) Sc(3) NL(20)"
8093.0,1.191536695619246,1007.0,3633,8026.557747333575,"ARS(3,0.01) ADX(14) RVI(14) Q(8) Sc(4) NL(20)"
8301.0,1.1839393737951207,1139.0,4729,8004.463871862924,"ARS(5,0.01) ADX(21) RVI(21) Q(5) Sc(3) NL(10)"
7970.0,1.2069592313684758,1012.0,2790,8000.220454097433,"ARS(8,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(10)"
8140.0,1.2246260831171698,1240.0,2684,7987.545125459745,"ARS(3,0.01) ADX(30) RVI(21) Q(5) Sc(3) NL(20)"
7560.0,1.2475847388243,905.0,1608,7986.232536419735,"ARS(5,0.01) ADX(30) RVI(14) Q(13) Sc(4) NL(20)"
7849.0,1.2210674552879877,1002.0,2430,7984.1373346846185,"ARS(3,0.01) ADX(21) RVI(14) Q(13) Sc(4) NL(10)"
8136.0,1.1953046233616593,1096.0,3977,7976.540695267765,"ARS(5,0.01) ADX(14) RVI(10) Q(13) Sc(3) NL(20)"
7755.0,1.2156622820434384,929.0,2805,7950.296000376847,"ARS(8,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(10)"
8087.0,1.2059857361181865,1138.0,2913,7944.612779397014,"ARS(8,0.01) ADX(21) RVI(14) Q(5) Sc(4) NL(20)"
7557.0,1.2492578666138927,952.0,1586,7930.646587702611,"ARS(3,0.01) ADX(30) RVI(21) Q(13) Sc(4) NL(20)"
7743.0,1.1949493932222166,837.0,3464,7925.726530511927,"ARS(8,0.01) ADX(21) RVI(21) Q(8) Sc(3) NL(20)"
7798.0,1.2157839393436272,1000.0,2713,7900.569299168004,"ARS(8,0.01) ADX(30) RVI(14) Q(8) Sc(3) NL(10)"
7939.0,1.1865980350679264,963.0,3985,7899.0456149624915,"ARS(5,0.01) ADX(21) RVI(14) Q(8) Sc(3) NL(10)"
7755.0,1.2121576888353898,965.0,2603,7879.533006637424,"ARS(8,0.01) ADX(30) RVI(10) Q(5) Sc(3) NL(20)"
8107.0,1.1782345828295042,1094.0,4637,7837.174075318995,"ARS(3,0.01) ADX(21) RVI(14) Q(5) Sc(3) NL(10)"
7655.0,1.2331637781365172,1030.0,2211,7827.420167193233,"ARS(3,0.01) ADX(30) RVI(21) Q(13) Sc(3) NL(20)"
8068.0,1.2209139946879877,1293.0,2482,7826.4215073436235,"ARS(8,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(20)"
8123.0,1.2140053218115237,1304.0,3192,7821.514299710508,"ARS(3,0.01) ADX(30) RVI(10) Q(5) Sc(3) NL(10)"
7860.0,1.2009716185118895,1035.0,3482,7820.743099837159,"ARS(5,0.01) ADX(21) RVI(21) Q(13) Sc(3) NL(10)"
7649.0,1.2263084706648126,1002.0,2119,7814.089880135915,"ARS(5,0.01) ADX(30) RVI(21) Q(5) Sc(4) NL(20)"
7547.0,1.234860272608452,982.0,1845,7789.610897171505,"ARS(5,0.01) ADX(30) RVI(21) Q(8) Sc(4) NL(20)"
7556.0,1.2029219035342142,839.0,3049,7783.2487610074695,"ARS(5,0.01) ADX(14) RVI(14) Q(13) Sc(4) NL(20)"
7913.0,1.1849436731641192,1028.0,3721,7777.421438078695,"ARS(3,0.01) ADX(14) RVI(10) Q(8) Sc(4) NL(20)"
7889.0,1.2220439640856764,1228.0,2491,7739.807990263247,"ARS(3,0.01) ADX(30) RVI(21) Q(5) Sc(4) NL(10)"
7839.0,1.1723501088318713,947.0,4555,7726.628975225357,"ARS(5,0.01) ADX(21) RVI(10) Q(5) Sc(3) NL(10)"
7634.0,1.1964589016418756,914.0,3222,7722.15696240622,"ARS(5,0.01) ADX(21) RVI(10) Q(13) Sc(3) NL(10)"
7648.0,1.196364383280271,925.0,2867,7721.345825592838,"ARS(8,0.01) ADX(21) RVI(10) Q(8) Sc(4) NL(10)"
7708.0,1.2247492418940984,1124.0,2534,7707.680565414525,"ARS(3,0.01) ADX(30) RVI(21) Q(13) Sc(3) NL(10)"
7445.0,1.2266707261379206,937.0,1860,7691.227519030503,"ARS(8,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(20)"
7612.0,1.1798804263062126,848.0,3476,7678.907152054454,"ARS(5,0.01) ADX(21) RVI(10) Q(5) Sc(4) NL(10)"
7716.0,1.1958773354995937,1027.0,2937,7655.043571192024,"ARS(8,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(20)"
7519.0,1.2212381568881303,1000.0,2082,7652.074751368211,"ARS(3,0.01) ADX(21) RVI(10) Q(13) Sc(4) NL(20)"
7766.0,1.1660537119397878,927.0,4973,7639.255210835491,"ARS(5,0.01) ADX(14) RVI(21) Q(8) Sc(3) NL(20)"
7535.0,1.2151996344319416,1003.0,2333,7626.627724008561,"ARS(3,0.01) ADX(21) RVI(21) Q(13) Sc(4) NL(10)"
7596.0,1.1905239659886127,942.0,2957,7609.5759387828175,"ARS(8,0.01) ADX(21) RVI(10) Q(5) Sc(4) NL(20)"
7428.0,1.2152981073012377,949.0,2404,7587.186368325427,"ARS(8,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(20)"
7695.0,1.1837217075732978,1003.0,3965,7586.822038794374,"ARS(8,0.01) ADX(14) RVI(10) Q(13) Sc(3) NL(20)"
7600.0,1.1977981937901778,1001.0,3149,7584.791095488545,"ARS(5,0.01) ADX(30) RVI(14) Q(5) Sc(3) NL(10)"
7662.0,1.180473442468496,989.0,3451,7551.166735843726,"ARS(5,0.01) ADX(21) RVI(14) Q(5) Sc(4) NL(10)"
8010.0,1.1736510070024064,1253.0,4323,7517.147422108809,"ARS(3,0.01) ADX(14) RVI(21) Q(5) Sc(4) NL(20)"
7256.0,1.196618252763928,777.0,2915,7514.853766708552,"ARS(8,0.01) ADX(14) RVI(10) Q(13) Sc(4) NL(20)"
7408.0,1.213906213906214,994.0,2488,7501.349042890584,"ARS(8,0.01) ADX(30) RVI(14) Q(13) Sc(3) NL(10)"
7793.0,1.1842926736981507,1170.0,4178,7479.086552779327,"ARS(5,0.01) ADX(14) RVI(14) Q(13) Sc(3) NL(20)"
7369.0,1.21445201094232,987.0,2115,7473.940929208247,"ARS(8,0.01) ADX(30) RVI(10) Q(5) Sc(4) NL(20)"
7873.0,1.1663532444482008,1144.0,4952,7472.89965294652,"ARS(3,0.01) ADX(14) RVI(14) Q(8) Sc(3) NL(20)"
7363.0,1.2177564841924704,1001.0,2110,7470.705709972638,"ARS(5,0.01) ADX(21) RVI(21) Q(13) Sc(4) NL(20)"
7408.0,1.200492570840889,953.0,2961,7469.552296984131,"ARS(5,0.01) ADX(14) RVI(21) Q(13) Sc(4) NL(20)"
7384.0,1.2063722750139743,965.0,2412,7466.766872341313,"ARS(5,0.01) ADX(21) RVI(14) Q(13) Sc(4) NL(10)"
7744.0,1.217283950617284,1324.0,2509,7453.073144829418,"ARS(3,0.01) ADX(30) RVI(10) Q(5) Sc(4) NL(10)"
7274.0,1.1829476861167,776.0,3460,7448.720108044387,"ARS(3,0.01) ADX(14) RVI(14) Q(13) Sc(4) NL(10)"
7150.0,1.2352360585622635,930.0,1581,7446.827840404877,"ARS(5,0.01) ADX(30) RVI(21) Q(13) Sc(4) NL(20)"
7326.0,1.1762964745517988,789.0,3622,7443.036770224977,"ARS(8,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(20)"
7729.0,1.2011503227149698,1243.0,3175,7435.280189223132,"ARS(3,0.01) ADX(30) RVI(14) Q(5) Sc(3) NL(10)"
7234.0,1.2127959994116781,935.0,2081,7391.209991359798,"ARS(8,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(10)"
7207.0,1.2241470469318572,973.0,1809,7385.256794942152,"ARS(5,0.01) ADX(30) RVI(14) Q(13) Sc(4) NL(10)"
7441.0,1.1732640991011969,912.0,3763,7383.506564117056,"ARS(8,0.01) ADX(21) RVI(10) Q(5) Sc(3) NL(20)"
7455.0,1.1994221972554369,1056.0,2957,7382.507001766249,"ARS(8,0.01) ADX(21) RVI(14) Q(13) Sc(3) NL(20)"
7474.0,1.176024493641074,957.0,3927,7377.5449601086,"ARS(8,0.01) ADX(21) RVI(10) Q(8) Sc(3) NL(10)"
7439.0,1.175576482805825,934.0,4066,7368.649692949555,"ARS(8,0.01) ADX(21) RVI(21) Q(8) Sc(3) NL(10)"
7317.0,1.2261194721715751,1095.0,1825,7359.734354289922,"ARS(3,0.01) ADX(30) RVI(14) Q(13) Sc(4) NL(10)"
7405.0,1.2076731076646943,1077.0,2477,7357.922792707801,"ARS(5,0.01) ADX(30) RVI(21) Q(5) Sc(4) NL(10)"
7430.0,1.1783314132104454,957.0,3448,7348.499580454599,"ARS(8,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(10)"
7839.0,1.164463746223565,1218.0,4911,7340.166698815154,"ARS(3,0.01) ADX(14) RVI(10) Q(8) Sc(3) NL(20)"
7337.0,1.2168016074700077,1088.0,2005,7332.189055525169,"ARS(8,0.01) ADX(30) RVI(14) Q(8) Sc(4) NL(10)"
