,NP,PF,DD,Tr,T_Per,T_Opt,KA,IS,ML,MH,LB1,LB2,Score
188,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,85,140,14207.63024188647
190,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,95,140,14207.63024188647
189,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,90,140,14207.63024188647
212,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,120,140,14193.230100253653
210,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,110,140,14193.230100253653
209,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,105,140,14193.230100253653
213,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,125,140,14193.230100253653
211,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,115,140,14193.230100253653
214,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,130,140,14193.230100253653
208,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,100,140,14193.230100253653
147,7686.0,1.8461030383091148,889.0,159,97,1.5,0.0,0.0,-9999.0,103.0,135,140,14189.147952443856
154,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,85,140,14179.122487143524
156,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,95,140,14179.122487143524
153,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,80,140,14179.122487143524
155,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,90,140,14179.122487143524
172,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,90,140,14156.135276259867
173,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,95,140,14156.135276259867
171,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,85,140,14156.135276259867
